date,title,amount
2025-11-29,Hortifruti Bom Gosto L,59.23
2025-11-29,Macrobala Distribuidor,11.77
2025-11-29,Ricky Lanches,36.00
2025-11-29,A Lenha Pizzaria Sant,161.82
2025-11-29,Macrobala Distribuidor,8.28
2025-11-28,Mercado Santo Antonio,21.00
2025-11-28,Uber Uber *Trip Help.U,9.90
2025-11-28,Google One,49.99
2025-11-28,Barbeiro,35.00
2025-11-28,Ricky Lanches,36.00
2025-11-27,Rancho1238,24.20
2025-11-27,Ricky Lanches,25.00
2025-11-26,Posto Marco Zero,100.00
2025-11-26,Carlos Henrique R de S,36.00
2025-11-26,Hortifruti Bom Gosto L,61.99
2025-11-25,Padaria e Confeitaria,8.60
2025-11-24,Padaria e Confeitaria,10.76
2025-11-24,Supermerc Gomes,12.49
2025-11-24,Mercado Santo Antonio,15.99
2025-11-23,Concessionaria das Rod,5.50
2025-11-23,Concessionaria das Rod,5.50
2025-11-23,Concessionaria das Rod,5.50
2025-11-23,Bom Mercado Comercio D,5.73
2025-11-22,Carlos Henrique R de S,36.00
2025-11-22,Sao Joao Farmacias,15.79
2025-11-22,Supermerc Gomes,134.59
2025-11-21,Barbeiro,35.00
2025-11-20,Posto Milhas,150.00
2025-11-20,Minhocaburger,96.00
2025-11-20,Ricky Lanches,36.00
2025-11-19,Mercado Santo Antonio,14.26
2025-11-19,Ricky Lanches,36.00
2025-11-19,Sao Joao Farmacias,27.31
2025-11-18,Hortifruti Bom Gosto L,28.13
2025-11-18,Ricky Lanches,36.00
2025-11-18,Mercado Santo Antonio,52.98
2025-11-18,Mercearia Serrana,40.29
2025-11-17,Abastecedorade,16.99
2025-11-17,Solary Glasses,60.00
2025-11-17,Linos Restaurante,99.00
2025-11-17,Linos Restaurante,4.00
2025-11-16,Santo Antonio da Pat,29.79
2025-11-15,Hortifruti Bom Gosto L,26.56
2025-11-15,Macrobala Distribuidor,46.31
2025-11-15,Lojas Americanas,99.03
2025-11-15,Sao Joao Farmacias,23.99
2025-11-15,Rancho,61.35
2025-11-14,Hortifruti Bom Gosto L,71.80
2025-11-14,Ricky Lanches,36.00
2025-11-13,Ricky Lanches,36.00
2025-11-13,Google Youtube,53.90
2025-11-13,Mercado Santo Antonio,7.49
2025-11-12,Hortifruti Bom Gosto L,71.30
2025-11-11,Barbeiro,35.00
2025-11-11,I J de Paula,5.00
2025-11-11,Rafael Altenetter da S,7.90
2025-11-11,Mercado Compre Bem,28.93
2025-11-08,Mercearia Serrana,65.03
2025-11-08,X do Brutus Restaurant,36.00
2025-11-08,Supermerc Gomes,115.45
2025-11-07,Lojas Americanas,10.48
2025-11-06,X do Brutus Restaurant,35.00
2025-11-05,Rancho,52.06
2025-11-05,Barbeiro,30.00
2025-11-05,Mercado Santo Antonio,11.43
2025-11-05,Mercado Uniao Zeroum,26.03
2025-11-05,Julio Cesar Selistre P,28.29
2025-11-04,Supermerc Gomes,439.14
2025-11-04,Padariasanta,4.50
2025-11-04,Urbanni Cafe e Boutiqu,40.50
2025-11-03,Posto Marco Zero,252.48
2025-11-01,Lojas Americanas,26.27
2025-11-01,The Front Conveniencia,12.00
2025-11-01,Supermerc Gomes,137.59
2025-10-31,Pagamento recebido,-3651.19
2025-10-31,A Lenha Pizzaria Sant,166.12
