date,title,amount
2025-01-22,Hortifruti Bom Gosto L,51.45
2025-01-22,Uber Uber *Trip Help.U,8.97
2025-01-23,Buffon,61.9
2025-01-23,Pontodoacai,63.07
2025-01-23,Ricky Lanches,15.0
2025-01-23,Supermerc Gomes,57.46
2025-01-23,Via Sul,5.5
2025-01-24,Janainacardosodos,16.0
2025-01-24,Posto Point,45.0
2025-01-24,Via Sul,5.5
2025-01-24,Zig*Acqualokos,66.5
2025-01-25,Hortifruti Bom Gosto L,81.48
2025-01-25,Posto Milhas,50.0
2025-01-28,Mercado Santo Antonio,7.63
2025-01-28,Prime Fit Academia - Parcela 1/12,29.99
2025-01-28,Ricky Lanches,33.0
2025-01-29,Hortifruti Bom Gosto L,63.09
2025-01-29,Ricky Lanches,33.0
2025-01-30,Atacadaco,17.0
2025-01-30,Mp *Deliverydaluh,21.0
2025-01-31,Lanches Santa Maria,58.0
2025-01-31,Pg *Xgrow - Parcela 2/12,299.7
2025-01-31,Posto Marco Zero - Parcela 2/6,48.99
2025-01-31,Prime Fit Academia - Parcela 2/12,29.99
2025-01-31,Prime Fit Academia - Parcela 3/12,54.15
2025-01-31,Sim Bage Unipampa,15.39
2025-01-31,Ândrei Nunes dos Santos,56.58
2025-02-01,Ecomix,48.48
2025-02-01,Ecomix - Parcela 1/2,37.83
2025-02-01,Hortifruti Bom Gosto L,91.21
2025-02-01,Mercearia Serrana,69.74
2025-02-01,Posto Marco Zero,119.8
2025-02-01,Restaurante Vitriny,56.5
2025-02-01,Sim Bage Unipampa,11.28
2025-02-02,Fruteira Frutasul,2.5
2025-02-02,Fruteira Frutasul,41.64
2025-02-02,Gabrieli Dutra Camargo,50.0
2025-02-02,Pizzaria Gastronomia,90.9
2025-02-02,Sim Bage Unipampa,21.97
2025-02-04,Supermercado,30.74
2025-02-04,Xis do Brutus,25.0
2025-02-05,Farmacia Sao Joao,9.68
2025-02-05,Gigapastelaria,39.0
2025-02-05,Ricky Lanches,25.0
2025-02-05,Santa Mordida,11.0
2025-02-05,Supermerc Gomes,63.93
2025-02-06,Sim Bage Br153,15.78
2025-02-08,Google One,38.99
2025-02-08,Ricky Lanches,33.0
2025-02-08,Supermerc Gomes,46.45
2025-02-09,Supermerc Gomes,15.55
2025-02-10,Gasbomprincipio,124.0
2025-02-11,54686114,8.0
2025-02-11,Gemeascel,24.9
2025-02-11,Gemeascel,109.9
2025-02-11,Mercado Santo Antonio,35.57
2025-02-11,Ricky Lanches,33.0
2025-02-12,Mercado Santo Antonio,33.34
2025-02-13,Mercado Santo Antonio,29.99
2025-02-13,Ricky Lanches,33.0
2025-02-13,Sao Joao Farmacias,15.99
2025-02-14,Bazar Rodrigues,50.97
2025-02-14,Janaina Gomes da Silv,30.0
2025-02-14,Posto Marco Zero,6.99
2025-02-14,Ricky Lanches,33.0
2025-02-14,Supermerc Gomes,225.22
2025-02-15,Mercado Uniao Zeroum,54.23
2025-02-15,Ricky Lanches,63.0
2025-02-15,Uber Uber *Trip Help.U,6.96
2025-02-17,Adair J Muniz Pereira,52.73
